"Class","FriendlyName","InstanceId","Status","DriverVersion"
"Firmware","Firmware de dispositivo","UEFI\RES_{43A01D9F-A662-4B87-9A93-E46F7B45D214}\0","OK","10.0.26100.4768"
"System"," Shared SRAM - 54EF","PCI\VEN_8086&DEV_54EF&SUBSYS_380817AA&REV_00\3&11583659&0&A2","OK","10.1.50.7"
"Firmware","Firmware de dispositivo","UEFI\RES_{865D322C-6AC7-4734-B43E-55DB5A557D63}\0","OK","10.0.26100.4768"
"InsydeDevice","WDF Insyde IO","ROOT\INSYDEDEVICE\0000","OK","9.31.20.62"
"MEDIA","Realtek(R) Audio","HDAUDIO\FUNC_01&VEN_10EC&DEV_0257&SUBSYS_17AA3A08&REV_1000\4&C72F0DB&0&0001","OK","6.0.9885.1"
"System","Enumerador de adaptador de red virtual NDIS","ROOT\NDISVIRTUALBUS\0000","OK","10.0.26100.1"
"Firmware","Firmware de dispositivo","UEFI\RES_{B9C68CC2-2096-A846-A743-E8C2795D97C9}\0","OK","10.0.26100.4768"
"System","Intel(R) Serial IO I2C Host Controller - 54E8","PCI\VEN_8086&DEV_54E8&SUBSYS_380917AA&REV_00\3&11583659&0&A8","OK","30.100.2229.4"
"HIDClass","Dispositivo definido por el proveedor compatible con HID","HID\ELAN06FA&COL02\5&2AD98461&0&0001","OK","10.0.26100.9444"
"Firmware","Firmware de dispositivo","UEFI\RES_{7C7B8294-C7BA-4C71-91BC-53825D2DE00D}\0","OK","10.0.26100.4768"
"SoftwareComponent","DolbyAPO Software Device (HSA)","SWD\DRIVERENUM\{2C0454A3-AB52-4F33-8FD1-21140301103B}#DOLBYAPO_DAX3HSA_DOLBYACCESS&5&666691A&0","OK","3.30803.830.0"
"System"," PCI Express Root Port #4 - 54BB","PCI\VEN_8086&DEV_54BB&SUBSYS_380117AA&REV_00\3&11583659&0&E0","OK","10.1.50.7"
"USB","Concentrador ra?z USB (USB 3.0)","USB\ROOT_HUB30\4&7E07E6&0&0","OK","10.0.26100.9444"
"AudioProcessingObject","Elevoc Audio Effects Component","SWD\DRIVERENUM\{F8AD342D-16E2-42B7-A8E3-EDED26AAD9E9}#ELEVOCAPO&5&666691A&0","OK","5.0.5.257"
"System","Controlador BIOS de Microsoft System Management","ROOT\MSSMBIOS\0000","OK","10.0.26100.1"
"System","Recursos de la placa base","ACPI\INT340E\2&DABA3FF&0","OK","10.0.26100.1150"
"System"," SMBus - 54A3","PCI\VEN_8086&DEV_54A3&SUBSYS_381417AA&REV_00\3&11583659&0&FC","OK","10.1.50.7"
"USB","Dispositivo compuesto USB","USB\VID_5986&PID_215F\01.00.00","OK","10.0.26100.9444"
"Keyboard","Teclado PS/2 est?ndar","ACPI\IDEA0102\4&1C9D9F6E&0","OK","10.0.26100.8972"
"Display","Intel(R) UHD Graphics","PCI\VEN_8086&DEV_46D0&SUBSYS_3B3C17AA&REV_00\3&11583659&0&10","OK","32.0.101.7082"
"System","Enumerador de dispositivos de software Plug and Play","ROOT\SYSTEM\0000","OK","10.0.26100.4202"
"AudioProcessingObject","Realtek Audio Effects Component","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKAPO&5&666691A&0","OK","13.3520.1921.638"
"System","Bus del Redirector de dispositivos de Escritorio remoto","ROOT\RDPBUS\0000","OK","10.0.26100.8972"
"Firmware","Firmware de dispositivo","UEFI\RES_{20EF4108-6C64-D049-B6DE-11EE35980B8F}\0","OK","10.0.26100.4768"
"Firmware","Firmware de sistema","UEFI\RES_{D3951E79-6331-426E-8BD1-E4D153F82D9D}\0","OK","10.0.26100.4768"
"Net","WAN Miniport (IPv6)","SWD\MSRRAS\MS_NDISWANIPV6","OK","10.0.26100.1"
"Net","Microsoft Wi-Fi Direct Virtual Adapter","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&2B15BC27&0&11","OK","10.0.26100.8972"
"Net","Microsoft Wi-Fi Direct Virtual Adapter #2","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&2B15BC27&0&12","OK","10.0.26100.8972"
"SoftwareComponent","Intel(R) Dynamic Tuning Technology Device Extension Component","SWD\DRIVERENUM\{BC7814A1-A80E-44B3-87C6-652EAC676387}#DTTEXTCOMPONENT&4&1952BF94&0","OK","9.0.11703.48565"
"Net","WAN Miniport (L2TP)","SWD\MSRRAS\MS_L2TPMINIPORT","OK","10.0.26100.1"
"System","Controladora de High Definition Audio","PCI\VEN_8086&DEV_54C8&SUBSYS_380117AA&REV_00\3&11583659&0&FB","OK","10.0.26100.9444"
